end_crystal,失去30+2d4*15点HP，对非友方玩家造成40+d8*15点伤害
hero_legend,回复100HP，本次攻击ATK+10
wood_sword,ATK永久+10
dream_shelter,回复100HP，下一次受伤时DEF+10
shield,DEF永久+5，获得一个100点护盾
ascension_stair,失去10%最大HP，所有角色进行d6判定，对点数最小者造成最大者点数*50点伤害
critical_strike,本次攻击无视护盾、闪避、战斗续行等效果
curing,使目标回复120HP
regenerating,使目标获得2R【再生】【回复120HP】
strength_spell,使自身获得2R【力量】【ATK+15】
strength_spell_ii,使自身获得2R【力量II】【ATK+30】
hexastal,本次攻击变为*1d6
octastal,本次攻击变为*1d8
decastal,本次攻击变为*1d10
chaotic_drill,使目标获得1R【混乱】【无法发动技能/特质，可以使用道具】
fragment,本次攻击伤害+45，并摸两张牌
refreshment,清除全部技能CD
aurora_concussion,失去50HP，所有角色进行d2判定，d2=1时获得1R【脱力】【atk*0.5】
mace,本次攻击伤害+90，使目标获得2R【破盾】【受到伤害时无视护盾】
redstone,随机延长一个延时状态效果1R
nano_permeation,本次攻击伤害+55，且目标DEF视为0
filching,获得目标一张手牌
declaration,揭露目标的手牌和技能，并弃置其一张手牌
hologram,从技能池中抽取一个技能，使用一次后该技能失效
pyrotheum,使目标获得3R【灼炎】【失去50HP】
cryotheum,使目标获得2R【霜冻】【ATK-20且闪避无效，失去30HP】
passing_gaze,本次攻击伤害+100，使目标获得2R【游离】【无法回复生命】
corrupt_pendant,目标失去60HP，ATK-5，自身回复60HP，ATK+5
heart_locket,DEF+10
amethyst,进行d2判定，若d2=1则本次攻击伤害+80，d2=2则本次攻击伤害-400
bow,弃掉全部手牌，每弃掉一张牌，就对目标追加75点真实伤害
track,本次攻击无视闪避，若目标有闪避状态，则最终伤害*1.5
penetrate,本次攻击无视护盾，若目标存有护盾，则最终伤害*1.5
end_halberd,最终伤害*1.5
slowness_spell,使目标获得2R【迟缓】【每R回复MP-1】
swift_spell,使目标获得2R【迅捷】【每R回复MP+1】
invisibility_spell,使目标获得一次闪避效果
arrow,本次攻击伤害+50
rapier,ATK+15
arctic_heart,一个技能CD-1
clover_blessing,使本次攻击的最终d点+2
flover_wish,使本次攻击的最终d点*2
high_cap,使目标获得1轮【骑虎难下】【无法攻击且受到攻击时伤害*1.2】
homology,将场上其他角色的延时状态效果叠加至自身
aether_shroud,使目标获得1R【障目】【攻击时进行d2判定，若d2=1则攻击无效】
echo_glimpse,使目标获得1R【恍惚】【攻击无法携带道具】
crimson_swoop,本次攻击伤害+上一位行动角色ATK
violent_violet,本次攻击伤害+上一位行动角色DEF*2
glory_road,使自己获得【磨砺】【ATK永久+5，每次攻击使自己的ATK额外永久+5，总上限+25】
flame_spear,使自己获得【烛焱】【ATK永久+5，攻击时进行d10判定，若d10≤2则附带1R【灼炎】；第三次攻击提升至d10≤8】
frost_shield,使自己获得【蚀凛】【DEF永久+5，受伤时进行d10判定，若d10≥9则对伤害来源施加1R【霜冻】；若判定失败，则所需点数下降2，若判定成功，所需点数重置为9】
damocles_sword,本R结束后，使血量最高的角色失去150HP
sisyphus_stone,使目标获得1R【消磨】【MP上限降为0】
pandora_box,进行d6判定，若d6=3/6则全体角色+100HP，否则全体角色-300HP
apollo_arrow,目标DEF为全场最低时，造成伤害+100
eden_garden,下一个使用技能的玩家获得2R【脆弱】
babel_tower,下一回合内所有玩家均不可被添加状态效果
rest,本次行动MP-1
rippling_water,使目标获得1R【氤氲】【受到伤害*1.5】
high_energy_can,MP上限+2，MP+1
